Výrobce;Název;Typ soustavy;Cena;Bluetooth;FL;FR;Subwoofer;RL;RR;Center
Logitech;Multimedia Speakers Z200;2.0;9790;ano;5;5;;;;
Creative;GigaWorks T40 Series II;2.0;3169;ne;16;16;;;;
Genius;Gx Gaming SW-G 2.1 3000;2.1;2099;ne;15;15;40;;;
Genius;Gx Gaming SW-G 5.1 3500;5.1;2399;ne;10;10;30;10;10;10
Creative;Inspire T6300;5.1;1699;ne;7;7;22;7;7;7
Creative;Inspire T3250 Wireless;2.1;1499;ano;3;3;8;;;
Logitech;Speaker System Z623;2.1;3999;ne;35;35;130;;;
Logitech;Stereo Speakers Z120;2.0;459;ne;0,6;0,6;;;;
Logitech;Surround Sound Speakers Z506;5.1;2590;ne;8;8;27;8;8;16
Genius;SP-HF2.0 1800A;2.0;579;ne;25;25;;;;
Tester;Testovací produkt;2.0;500;ano;10;5;;;;
